month,year,butali,chemelil,muhoroni,kibos,westKenya,nzoia,kwale,combined
Jun,2019,11.286519607843136,11.9,10.91952380952381,12.8,11.302755102040818,13.8,15.5,12.501256931343965
Jul,2019,10.853009118541033,16.4,10.71,11.66475,10.455876288659795,14.2,13.1,12.483376486742973
Aug,2019,10.75206106870229,12.3,11.425890410958905,11.151472081218275,10.40576,15.6,16.3,12.562169080125638
Sep,2019,10.884193548387097,13.7,11.804666666666666,11.876260162601627,10.420534979423868,16.0,17.8,13.212236479582753
Oct,2019,17.8,15.2,11.958388625592416,11.388352490421456,10.471155913978494,14.9,11.9,13.373985289998911
Nov,2019,11.092708688245315,14.8,12.33484076433121,11.665077881619936,10.530262467191601,13.7,14.8,12.703269971626867
Dec,2019,11.26510989010989,16.5,12.277241379310347,11.210740740740741,10.270858585858587,12.3,9.021481481481482,11.835061725357292
Jan,2020,11.584782608695653,14.2,12.109203296703297,11.859300000000001,10.97366515837104,13.8,9.450591397849463,11.996791780231352
Feb,2020,11.948498168498167,10.578571428571427,12.630365535248043,12.692247191011237,11.973548387096773,15.6,9.895537634408601,12.188395477833463
Mar,2020,12.33295294117647,12.35679054054054,12.784983713355048,12.168129921259842,12.022655601659752,14.2,9.896964980544746,12.251782528362343
Apr,2020,12.590755395683454,12.568448979591837,12.572683823529411,12.672378947368422,11.83822299651568,16.4,10.032808988764044,12.667899875921837
May,2020,13.36691379310345,13.190792452830188,12.807546468401487,13.062896341463414,12.388586956521738,17.8,10.3148,13.275933716045754
Jun,2020,13.258738898756661,13.047851239669422,13.194731861198736,13.797707808564232,13.741194968553458,11.9,14.630363636363636,13.367226916158023
Jul,2020,13.561048387096776,12.65175,13.409794721407623,14.15034188034188,14.433730769230769,11.7,14.4568018018018,13.480495365696978
Aug,2020,13.300576923076925,12.485862068965517,12.799864864864865,14.14845238095238,14.161348547717843,12.3,13.823039215686276,13.288449143037687
Sep,2020,13.140992990654206,13.237142857142857,12.787959501557634,14.378983050847458,14.12209677419355,13.0,14.344583333333333,13.573108358247003
Oct,2020,13.180496894409938,13.422645011600927,12.385542635658913,14.161931330472104,14.00910569105691,14.2,14.147132352941176,13.64383627373428
Nov,2020,12.723112183353436,12.310979999999999,12.499133858267717,14.21475,14.005524590163935,15.1,14.556623376623376,13.630017715486924
Dec,2020,13.28142718446602,12.81706051873199,12.723872679045092,14.670764705882354,12.91344827586207,12.5,14.251654676258992,13.30831829146379
Jan,2021,13.682340182648401,12.854326018808777,12.730486486486486,14.190096153846154,13.640653753026635,13.8,13.2,13.442557513545209
Feb,2021,13.698726273726272,12.690128534704371,12.70486590038314,14.547962962962963,13.779696202531644,11.7,13.438632075471697,13.222858849968585
Mar,2021,13.655053304904051,12.872258064516128,12.849792899408282,13.995034246575344,13.433743455497382,17.2,13.194925373134328,13.885829620576501
Apr,2021,13.22164271047228,12.804944237918216,12.510074626865672,12.997455830388693,12.510201729106628,14.5,12.085714285714285,12.947147631495111
May,2021,12.937662671232877,12.37421875,11.891858407079646,12.425164319248825,12.090544217687075,16.3,11.345555555555556,12.766429131543427
Jun,2021,12.615856777493606,12.822725225225225,12.124067415730337,12.44809523809524,12.217544642857144,13.9,11.509512195121951,12.519685927789073
Jul,2021,11.510625,12.92482233502538,12.17749430523918,12.572704402515724,12.13328313253012,12.5,11.243333333333332,12.151751786949104
Aug,2021,11.900343434343435,12.843588235294117,12.130714285714285,12.467491166077739,12.267386934673366,14.8,12.019,12.632646293728993
Sep,2021,11.890217391304347,12.435060240963855,12.192934131736527,14.2,11.806790450928382,13.2,15.4,13.01785745927616
Oct,2021,15.2,12.67123711340206,11.965181058495821,13.6,11.845066666666666,16.1,16.7,14.011640691223507
Nov,2021,12.198121546961326,12.616127659574468,11.866265664160402,13.427162790697675,12.256140724946695,13.925555555555555,12.9,12.741339134556592
Dec,2021,12.647777777777778,12.808956043956044,11.680280373831776,13.148034682080926,12.860328947368421,15.895750000000001,17.1,13.734446832144995
Jan,2022,12.719606741573035,13.120972222222223,17.2,13.607286063569683,12.76748484848485,15.163214285714286,14.5,14.154080594509153
Feb,2022,12.623826979472142,13.188709677419356,12.117647058823529,13.514906542056075,12.954528301886793,13.461162790697676,11.8,12.808683050050794
Mar,2022,12.963069053708441,13.16675799086758,12.21234375,13.284841498559079,13.239771689497719,13.16835616438356,12.5,12.933591449573766
Apr,2022,13.19394927536232,12.8,12.359690721649484,13.238703703703704,13.254776119402985,12.836410256410257,11.686290322580644,12.767117199872771
May,2022,12.750133729569093,15.9,15.4,12.601258503401361,12.127476190476191,12.15031746031746,13.2,13.447026554823442
Jun,2022,12.426674418604652,13.4,11.545147058823531,12.094074074074074,11.648070175438596,17.0,9.82368932038835,12.562522149618458
Jul,2022,12.424319419237749,17.1,11.521162790697675,13.133023255813955,11.862564102564102,15.3,9.585,12.989438509759067
Aug,2022,13.029045454545454,14.2,11.465316455696202,9.718855421686747,11.358709677419355,11.69887323943662,14.0,12.21011432125491
Sep,2022,12.768008658008657,13.8,10.974322580645161,12.508385093167702,11.679036144578314,11.351603773584905,15.3,12.625908035712104
Oct,2022,12.707665094339623,15.4,11.21957894736842,12.441115384615385,11.013333333333334,11.745384615384616,16.1,12.946725339291627
Nov,2022,11.763582089552239,12.25748148148148,11.356643356643357,12.745403225806452,10.951042944785277,11.745624999999999,17.2,12.574254014038402
Dec,2022,12.112598870056496,12.828874172185431,12.118728813559322,12.855454545454545,11.142758620689655,11.820666666666666,12.5,12.19701166980173
Jan,2023,12.461604395604395,12.881166666666667,12.163548387096775,13.220569105691057,11.483356164383562,11.61,13.8,12.517177817063208
Feb,2023,13.423333333333334,16.1,12.636117021276597,14.48875,14.2,13.606,15.2,14.236314336372846
Mar,2023,13.29965,12.9,12.78897435897436,12.059565217391304,10.585925925925926,12.318235294117647,14.6,12.650335828058461
Apr,2023,12.643026706231453,11.802321428571428,10.333333333333334,11.964066666666666,9.912391304347826,12.504615384615384,16.1,12.179964974823728
May,2023,11.488992248062015,11.15953488372093,10.489782608695652,11.511481481481482,9.953750000000001,10.33,17.3,11.747648745994297
Jun,2023,10.538333333333332,10.883076923076922,9.5009375,12.231666666666667,9.534307692307692,13.9,12.9,11.355474587912088
Jul,2023,11.241282051282052,12.5,9.366779661016949,11.18747311827957,9.587142857142856,11.3,13.5,11.240382526817347
Aug,2023,14.7,11.405000000000001,13.4,11.712625,12.8,11.8,12.8,12.659660714285712
Sep,2023,12.5,13.0,15.2,15.4,15.5,12.4,15.2,14.171428571428573
